name,location,phone_number,website
Markham and Sixteen Dental,Markham,2898597473,http://www.markhamand16thdental.com/
14th Avenue Dental,Markham,9052099996,http://bluesmile.ca/markham-14th-avenue-dentistry/
Smiles on Seven Dental,Markham,2893012273,http://www.smilesonseven.com
Metrosquare Dental &amp; Medical Clinic,Markham,2898064431,http://www.metrosquare-dental.com
Southeast Dental (Inc),Markham,9054712002,http://southeastdental.ca
Smile Dental Arts Centre Inc ,Markham,2898062513,http://www.smiledentalartscentre.com
Markham Gate Dental Centre,Markham,9059405229,http://www.markhamgatedental.com
Cares Dental Clinic,Markham,2895542100,http://www.ceresdentalclinic.com
Dr. Rory Hunter,Markham,9052943444,http://www.hunterdental.net
Dr. My Y Perry Lui,Markham,6474969897,
Sun Dental Care,Markham,2898597442,http://www.sundentalcare.ca
Dr. Miranda Wong,Markham,2898064432,http://www.metrosquare-dental.com
East Markham Dental,Markham,9052943220,http://www.eastmarkhamdental.com
Dr. Edwin Simon ,Markham,9054753338,
Forestbook Dental,Markham,9053058872,http://www.forestbrookdental.com
Horizon Dental,Markham,9054755673,http://www.horizondental.ca
Mount Joy Dental,Markham,9052949905,http://www.mountjoydental.com
Dr. A. Philip Chang,Markham,9055131803,
Laski Orthodontics,Markham,9052940995,http://www.laskiorthodontics.com
Swan Dental,Markham,9054717926,http://www.swandental.ca
Dr. Zina Alwash,Markham,9054757515,
Markham Periodontic Centre,Markham,9054743008,
New Delhi Dental,Markham,2898182991,
Dr. Pranab Chakravorty,Markham,9054722700,
Markham Heritage Helth Clinic,Markham,9054712967,http://www.markhamheritagehealthclinic.com
Altima Woodbine Dental Centre,Markham,9054749205,http://www.altimadental.com
Markham Dental Solutions,Markham,9054757600,http://www.markhamdentalsolutions.com
Dr. Duncan Oram,Markham,9059405229,
Armadale Dentistry,Markham,9054725858,http://armadaledentistry.ca
EPICITI – Mobile Dental Care,Richmond-Hill,,http://www.mobiledentalclinic.ca/
Towerhill Dental,Richmond-Hill,9058848282,http://www.towerhilldental.ca
Mill Pond Dental,Richmond-Hill,9058847151,
McSweeny Kevin P Dr,Richmond-Hill,9057808823,
Citron A Dr,Richmond-Hill,9058844094,
Wurman A Dr,Richmond-Hill,9057707233,
,Richmond-Hill,9058830411,
Greenwald Ernie Dr,Richmond-Hill,9058831334,
Peltoniemi.R.Dr,Richmond-Hill,9057379099,
Loo Lincoln G Dr Inc,Richmond-Hill,9057377788,
Bayview Hill Dental Centre,Richmond-Hill,9058844094,
Stone Church Family Dentistry,Richmond-Hill,9057878764,
Patel Pravir Dr,Richmond-Hill,9058844094,
Kingsway Dental Clinic,Richmond-Hill,9057808444,
Wexler G B Dr,Richmond-Hill,9057878900,
Wotton Ernie Dr,Richmond-Hill,9057733306,
Hui Jason Dr &amp; Associates,Richmond-Hill,9057734221,
Dr William Prusin,Richmond-Hill,9058861444,
Kowalik Mariola Dr,Richmond-Hill,9057733306,
Excel Dental Care,Richmond-Hill,9057801400,
Gresik Richard Dr,Richmond-Hill,9058827753,
Todd Michael Dr,Richmond-Hill,9058831334,
Chu Patrick K Dr,Richmond-Hill,9058834111,
Laplante Geoffrey Dr,Richmond-Hill,9052242290,
Greene Cheryl Dr,Richmond-Hill,9058830933,
