name,phone_number,address,url
Anytime Fitness,905-534-6444,"9580 McCowan Rd, Markham, ON, L3P 8M1",https://yellowpages.ca/bus/Ontario/Markham/Anytime-Fitness/100820074.html
Anytime Fitness,905-209-7669,"72 Copper Creek Drive, Markham, ON, L6B 0P2",https://yellowpages.ca/bus/Ontario/Markham/Anytime-Fitness/100730601.html
Planet Fitness,416-292-2111,"4711 Steeles Avenue East, Scarborough, ON, M1V 4S5",https://yellowpages.ca/bus/Ontario/Scarborough/Planet-Fitness/101131449.html
GoodLife Fitness,905-709-9498,"8281 Yonge St, Thornhill, ON, L3T 2C7",https://yellowpages.ca/bus/Ontario/Thornhill/GoodLife-Fitness/602717.html
GoodLife Fitness,905-475-2110,"169 Enterprise Blvd, Markham, ON, L6G 0E7",https://yellowpages.ca/bus/Ontario/Markham/GoodLife-Fitness/101237496.html
GoodLife Fitness,905-479-5343,"5000 Highway 7 E, Markham, ON, L3R 4M9",https://yellowpages.ca/bus/Ontario/Markham/GoodLife-Fitness/4107405.html
GoodLife Fitness,905-201-6753,"200 Bullock Dr, Markham, ON, L3P 1W2",https://yellowpages.ca/bus/Ontario/Markham/GoodLife-Fitness/4107399.html
Goodlife Fitness,905-709-1248,"8281 Yonge St, Thornhill, ON, L3T 2C7",https://yellowpages.ca/bus/Ontario/Thornhill/Goodlife-Fitness/602716.html
YMCA,905-943-9622,"103-60 Centurian Dr, Markham, ON, L3R 8T6",https://yellowpages.ca/bus/Ontario/Markham/YMCA/7736235.html
Snap Fitness Markham,905-370-1905,"7261 Victoria Park Ave, Markham, ON, L3R 2M7",https://yellowpages.ca/bus/Ontario/Markham/Snap-Fitness-Markham/102816371.html
Nguistyle Integrative Medicine,905-597-5007,"165 East Beaver Creek Rd, Richmond Hill, ON, L4B 2N2",https://yellowpages.ca/bus/Ontario/Richmond-Hill/Nguistyle-Integrative-Medicine/100644958.html
Larry Cheung Golf,647-262-3233,"115 York Blvd, Richmond Hill, ON, L4B 3B4",https://yellowpages.ca/bus/Ontario/Richmond-Hill/Larry-Cheung-Golf/101688115.html
Zumba Pau-er,647-388-2727,"9 East Wilmot St, Richmond Hill, ON, L4B 1A3",https://yellowpages.ca/bus/Ontario/Richmond-Hill/Zumba-Pau-er/101731343.html
