name,phone_number,address,products/services,url
Henderson Construction & Excavating,905-885-1939,"451 Croft Street, Port Hope, ON, L1A 4H1","Utility Services, Foundation Waterproofing / Repair, Armour Retaining Wall, Trenching, Grading, Aggregate Supply And Removal, Slab Preparation, Site Clean Up, Backfilling, Trucking, Hauling And Float Service, Residential, Commercial And Industrial Builds, Heritage Restoration",https://yellowpages.ca/bus/Ontario/Port-Hope/Henderson-Construction-Excavating/100635108.html
Craig Roger Construction,905-885-5227,"4997 Knoxville Rd, Port Hope, ON, L1A 3V8",Doors-Wood,https://yellowpages.ca/bus/Ontario/Port-Hope/Craig-Roger-Construction/7620104.html
Northumberland Metered Co,905-786-3199,"3720 County Rd 65, Port Hope, ON, L1A 3V7",,https://yellowpages.ca/bus/Ontario/Port-Hope/Northumberland-Metered-Co/100753723.html
Colterman Carpentry,905-441-2205,"953 Hwy 2, Port Hope, ON, L1A 3V7",Renovation,https://yellowpages.ca/bus/Ontario/Port-Hope/Colterman-Carpentry/100995733.html
Greystone Home & Cottage Renovations,905-442-7022,"3116 County Rd 10, Oshawa, ON, L1A 3V5",Renovations And Home Improvements,https://yellowpages.ca/bus/Ontario/Oshawa/Greystone-Home-Cottage-Renovations/7876269.html
Gibney Homes,905-244-5310,"1 Alfred St, Port Hope, ON, L1A 2W6",,https://yellowpages.ca/bus/Ontario/Port-Hope/Gibney-Homes/102736091.html
Wilnox Construction Inc. General Contractor,905-885-8767,"6-500 Wellington Street, Port Hope, ON, L1A 2M3",,https://yellowpages.ca/bus/Ontario/Port-Hope/Wilnox-Construction-Inc-General-Contractor/6868615.html
MacLeod Woodworks,905-885-8286,"136 Charles St, Port Hope, ON, L1A 1T3",Home Improvements & Renovation,https://yellowpages.ca/bus/Ontario/Port-Hope/MacLeod-Woodworks/8176033.html
K&M Construction,289-215-8634,"43 Pochon Ave, Port Hope, ON, L1A 2X8",Home Improvements & Renovations,https://yellowpages.ca/bus/Ontario/Port-Hope/K-M-Construction/100884334.html
Northumberland Home Renovations,289-251-5709,"154 Walton St, Port Hope, ON, L1A 1N6",,https://yellowpages.ca/bus/Ontario/Port-Hope/Northumberland-Home-Renovations/102260198.html
RONA Port Hope Building Supplies,905-885-4521,"205 Peter Street, Port Hope, ON, L1A 3Z3",,https://yellowpages.ca/bus/Ontario/Port-Hope/RONA-Port-Hope-Building-Supplies/7488203.html
Blue Ribbon Home Improvement Inc,905-991-0162,"11 Dodds Crt, Fort Erie, ON, L2A 5Z2","Home Improvements, Renovations",https://yellowpages.ca/bus/Ontario/Fort-Erie/Blue-Ribbon-Home-Improvement-Inc/8223268.html
Sider Bros Builders Ltd,905-894-9999,"31 Emerick Ave, Fort Erie, ON, L2A 2W2",,https://yellowpages.ca/bus/Ontario/Fort-Erie/Sider-Bros-Builders-Ltd/101638737.html
Abba`S Services,905-991-1917,"253A Jarvis St, Fort Erie, ON, L2A 2S7",,https://yellowpages.ca/bus/Ontario/Fort-Erie/Abba-S-Services/102552852.html
Fort Erie Home Contractors Inc,905-871-0808,"2-104 Jarvis St, Fort Erie, ON, L2A 2S4","Interior Repair, Wall Repair, Building Repair, Home Renovation, Small Renovation, Kitchen Renovation, Basement Finishing, Floor Addition, Room Addition, House Addition, Home Finishing Work, Home Restoration, Underpinning",https://yellowpages.ca/bus/Ontario/Fort-Erie/Fort-Erie-Home-Contractors-Inc/101785836.html
E P B Cabinetry & Renovations,905-871-9349,"1469 Sunset Dr, Fort Erie, ON, L2A 5M4",,https://yellowpages.ca/bus/Ontario/Fort-Erie/E-P-B-Cabinetry-Renovations/6997890.html
Wayne's Renovations,289-241-8778,"Fort Erie, ON, L2A 2B7","Wall Repair, Small Renovation, Kitchen Renovation, Interior Repair, Home Renovation, Home Finishing Work, Building Repair, Basement Finishing, Demolition, Residential Painting, Interior Painting, Exterior Painting, Drywalling",https://yellowpages.ca/bus/Ontario/Fort-Erie/Wayne-s-Renovations/101791889.html
Niagara Remodelling,905-687-1596,"229 North St, Fort Erie, ON, L2A 3R9",,https://yellowpages.ca/bus/Ontario/Fort-Erie/Niagara-Remodelling/8203456.html
Fort Erie RONA,905-871-3648,"584 Garrison Road, Fort Erie, ON, L2A 1N4",,https://yellowpages.ca/bus/Ontario/Fort-Erie/Fort-Erie-RONA/101955651.html
