name,phone_number,address,url
Rami Beauty Salon and Spa,905-294-2440,"10-5694 Highway 7 E, Markham, ON, L3P 1B4",https://yellowpages.ca/bus/Ontario/Markham/Rami-Beauty-Salon-and-Spa/104278288.html
Perfect Wellness,289-859-7455,"2-1 Raymerville Dr, Markham, ON, L3P 5J5",https://yellowpages.ca/bus/Ontario/Markham/Perfect-Wellness/6212747.html
Bak Massage Therapy Clinic,905-477-1225,"511-3601 Highway 7 E, Markham, ON, L3R 0M3",https://yellowpages.ca/bus/Ontario/Markham/Bak-Massage-Therapy-Clinic/7799287.html
L'essence Beauty Creation,905-470-1118,"8789 Woodbine Ave, Markham, ON, L3R 9T6",https://yellowpages.ca/bus/Ontario/Markham/L-essence-Beauty-Creation/6146715.html
Bur Oak Massage Therapy & Esthetics,905-910-1180,"2913 Bur Oak Ave, Markham, ON, L6B 1E6",https://yellowpages.ca/bus/Ontario/Markham/Bur-Oak-Massage-Therapy-Esthetics/3585309.html
ITCHA Beauty,647-569-2778,"9-10 Royal Orchard Blvd, Thornhill, ON, L3T 3C3",https://yellowpages.ca/bus/Ontario/Thornhill/ITCHA-Beauty/104567971.html
Sherlase Clinic Inc,905-201-8005,"7-383 Main St N, Markham, ON, L3P 1Z3",https://yellowpages.ca/bus/Ontario/Markham/Sherlase-Clinic-Inc/2534001.html
Estee Lauder,905-940-8285,"200 Bentley St, Markham, ON, L3R 3L2",https://yellowpages.ca/bus/Ontario/Markham/Estee-Lauder/8169608.html
Estee Lauder,905-940-3280,"201 Bentley St, Markham, ON, L3R 3L1",https://yellowpages.ca/bus/Ontario/Markham/Estee-Lauder/7890669.html
Relaxation Spa,905-305-3666,"8601 Warden Avenue, Markham, ON, L3R 0B5",https://yellowpages.ca/bus/Ontario/Markham/Relaxation-Spa/101517581.html
LaserBody M.D.,416-661-7878,"10 Royal Orchard Blvd, Thornhill, ON, L3T 3C3",https://yellowpages.ca/bus/Ontario/Thornhill/LaserBody-M-D/101416692.html
Imassage,905-604-7896,"7706 Kennedy, Markham, ON, L3R 9S5",https://yellowpages.ca/bus/Ontario/Markham/Imassage/100831592.html
Amici Spa,905-307-4141,"8971 Woodbine Ave, Markham, ON, L3R 0J9",https://yellowpages.ca/bus/Ontario/Markham/Amici-Spa/2088542.html
